what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1349284579795
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1349284579805
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1349284579809
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1349284579818
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1349284579818
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1349284579818
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1349284579823
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1349284579832
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1349284579843
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1349284579843
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1349284579847
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1349284579857
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1349284579869
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1349284579879
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1349284579884
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1349284579891
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1349284579962
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1349284580134
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1349284580139
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1349284580139
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1349284580147
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1349284580164
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1349284580175
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1349284580179
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1349284580179
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1349284580190
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1349284580201
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1349284580209
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1349284580219
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1349284580227
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1349284580228
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1349284580235
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1349284580241
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1349284580273
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1349284580278
os,sysinfo,,,"linux",1349284580280
arch,sysinfo,,,"x86_64",1349284580280
ws,sysinfo,,,"gtk",1349284580280
locale,sysinfo,,,"en_US",1349284580280
processors,sysinfo,,,"4",1349284580280
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1349284580280
java.runtime.version,sysinfo,,,"1.6.0_24-b24",1349284580280
java.specification.name,sysinfo,,,"Java Platform API Specification",1349284580280
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1349284580280
java.specification.version,sysinfo,,,"1.6",1349284580280
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1349284580280
java.version,sysinfo,,,"1.6.0_24",1349284580280
java.vm.info,sysinfo,,,"mixed mode",1349284580281
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1349284580281
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1349284580281
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1349284580281
java.vm.specification.version,sysinfo,,,"1.0",1349284580281
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1349284580281
java.vm.version,sysinfo,,,"20.0-b12",1349284580281
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1349284580467
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1349284581300
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349284582994
